MAHS,Toan,Van,NgoaiNgu
53006406,7.2,8.5,6.8
53001081,9,8,8.4
53014288,6.8,5.75,3.4
53003713,5.8,5.75,5.4
53000647,5.6,7.25,3
53004656,7.6,7.75,7
53013420,6.8,6.5,4.2
53011050,4.8,6.75,4.8
53000042,6.6,7.5,5.4
53002402,6.8,6,3.6
53008027,7.6,7.5,5.4
53008150,4.6,6.5,4
53013654,8.4,8.75,8.8
53012921,7.2,6.25,5
53007913,8.6,7.75,8.6
53005040,6.6,5.75,3.4
53007608,8,7.5,7.2
53011417,7,5.75,4.8
53005642,8,6.75,4
53010453,7.2,6.75,4.6
53000272,7.4,6.5,4.6
53004778,8.2,5.25,3.6
53010917,6.8,4.75,3
53001244,7,6.25,2.6
53012755,5.4,6.5,4.2
53008023,8.2,7.25,6.2
53002285,7.4,6.75,4.2
53005883,7.6,8.25,7.6
53008732,5.8,7,5.6
53014309,7.2,5.75,4.6
53004701,8.2,6,5.2
53001408,8,8,6.6
53008686,9.4,7.75,9.4
53004160,6.6,7,3.2
53012520,4.6,7.25,3.6
53013934,7.8,7.5,6.2
53010721,6.4,7.75,5
53010595,6,6.25,4.4
53014104,6.4,6.75,3.6
53011883,7.4,8,5
53000860,6,5.25,4.4
53000133,6.2,7,3.8
53004797,7.8,6,4.2
53008744,8.6,7.25,6.6
53012194,7,7.75,4
53004275,3.2,7,1.8
53000878,4.4,6.25,2.8
53010126,7.2,7,5.6
53002776,8,6.25,3.8
53012768,6.8,6.5,3.4
53012057,4.6,7.75,3.2
53012899,8,6.75,7.8
53009983,8.6,7.83,3.4
53001306,3.4,6.5,3.8
53004687,7.8,7,5.8
53003746,6.8,7,4.6
53013691,8.2,7.75,5.4
53003665,7.2,5.5,4
53003848,7.8,5.75,3.6
53007326,8.4,7.75,7.2
53012802,7.4,7.75,6.2
53000301,8.4,5.5,6.2
53004178,5.4,6.5,3.2
53011906,5.4,8.08,5.6
53000766,7.8,6.75,6.4
53014064,7.8,7.75,5.8
53007039,8.4,7.5,6.8
53003768,8.4,6.25,4
53003352,8,8.5,8
53012527,9.6,7,9.6
53009644,8.4,5,4.6
53005599,6.4,6.75,6.4
53011893,6.4,7.5,3.8
53009049,7.6,7,5.4
53009426,7.8,6.92,6.2
53007585,8,7,7.2
53003841,6.6,7.25,5.4
53012866,8.8,8.5,8.2
53014021,6.2,6.5,2.8
53007896,7.6,6.75,5.4
53006903,7.2,5.17,2.6
53010497,7.4,7.25,3.6
53007562,8.6,7.25,5.2
53000764,7.8,6.5,4.2
53006500,8.2,6.5,6.8
53001309,7.6,6.25,4
53003903,6.4,6.25,3.2
53005238,5.6,6.25,3.4
53007603,8.8,7.75,7.2
53007282,7.8,8.5,7
53006357,7.2,6.25,3.4
53008163,7,5.75,4.6
53009682,7.8,6.75,6.6
53008555,6.6,7.25,2.8
53003507,8.6,8.5,7.6
53005638,7.6,7.75,5.4
53007638,9,7.75,8
53004949,6.8,6.75,2.4
53000077,7.4,7.5,5
53013470,5.6,6.5,3.8
53002061,7.6,8.25,7.6
53014238,7.4,5.75,4.6
53004822,6,6.25,3.4
53005372,5.4,6,4
53013731,9.4,6.75,7.8
53007299,8.6,8,7.6
53002453,7,6.75,3.4
53005886,6.6,5.25,2.2
53000475,6.2,7.25,1.8
53003812,8.6,7.25,6
53011185,6.4,6.75,3.2
53011822,6.2,8,4.2
53011113,8.2,6.25,8.8
53012106,7.2,5.75,4.2
53010775,5.6,6,3.8
53004729,5.8,5.75,3.8
53012514,5.4,6.75,5.6
53001327,7.2,5.75,5.8
53000660,8.2,7.75,5
53012267,9,6.5,5
53012437,7,5.75,4.4
53013074,7.2,6,4
53009502,7.8,6.83,5
53011347,7.2,7,3.4
53003791,6,6.25,3.4
53009921,9.4,8,5
53000144,9.2,7.5,9
53006842,5.6,5.5,2.6
53013905,8.2,8,5.8
53004164,8,7,4.8
53000799,7,8,4.8
53005503,6.8,6,5
53011645,9,6.75,6.8
53004857,4.4,7.25,5.4
53005863,6.8,6.5,3.6
53004791,8.2,7.25,6.4
53002616,7.8,7.25,3.6
53005903,8.4,6.75,6.2
53013840,6.8,7.25,6.2
53013110,7.4,5.25,4.2
53009379,7.2,6.25,5
53007850,8.6,6.25,5.6
53012183,5,8,4
53011864,6,7.75,3.4
53009102,6.6,6.25,5.2
53000664,6.2,7.75,4
53009782,4.2,6.75,3
53013979,7.4,6.25,4
53007059,8,7.25,8
53008628,8.4,7.75,9.6
53000426,9.4,7,6
53012053,7.4,7.25,5.4
53010923,7.2,6,4
53006860,6,6.25,3.4
53006497,7.4,7,3.8
53013281,6.4,6.5,3.6
53010961,9.2,8.25,6.6
53009749,8.6,8,6
53012799,8.2,7.25,5
53011927,7.6,8,3.4
53009631,7.4,7,3.4
53012927,8,8,5.8
53003868,8,6,5.2
53011821,7.2,4.75,3.8
53011186,6.2,6,4.2
53010252,6.6,6.5,3.4
53011005,8.2,7.5,5.6
53002464,8.6,5.5,4.2
53011138,9.6,7,5.4
53006001,8,7.25,6
53012207,7.4,7.75,2.4
53003403,8.8,5.75,5.2
53009871,8.2,6.75,3.8
53005407,5.4,6.75,4.8
53003894,8,7,5.6
53010592,8.4,6.25,3.4
53006121,6.4,7.75,6
53002515,7,6,4.8
53005125,5.8,7,2.4
53000810,5.8,6.75,4.8
53009374,7,8,4.2
53001403,7,8.25,5.4
53012039,5.6,4.5,4
53010822,7.4,6.5,4.2
53008740,9.4,6.75,6.2
53004144,5.6,6,3
53000321,6.4,7.25,5.4
53003027,8.4,8.5,4.6
53008095,3.8,4,1.6
53005663,7,6.25,6.2
53005563,8.4,8.5,6.6
53010763,7.4,6.75,4.2
53007474,9.2,8.25,9.2
53005890,6.4,5.5,3
53011260,6.8,6.25,4.8
53007231,8.8,9.25,6.4
53003946,7,8,3.2
53007443,8.2,7.75,5
53001416,6.4,7.75,6.6
53000638,4.4,6.75,1.6
53011302,8.2,8.25,5
53013548,7.4,6,5
53011652,7.6,5.75,6.8
53011834,3.8,6.25,2.6
53005058,8.2,7.75,5.6
53004158,7.8,6.75,4.8
53014054,7.8,6.5,2.4
53003671,7.2,5.75,5.2
53011106,7.8,4.75,3.6
53005494,5.6,5.25,4
53001247,7.2,6.25,4
53002677,8.2,8.25,5.4
53011396,7.4,5.75,4.8
53010752,5.2,6.5,2.8
53006208,8.4,5.75,6.2
53013234,8,8.5,7.2
53010962,7.2,7.25,4
53000781,8.4,7,4.8
53000600,5.6,6.5,2.6
53013616,5.4,7.25,2.6
53004668,6.2,7.25,3.2
53009612,6.2,5.5,4.6
53002341,7,7.75,3
53010387,6.4,5.75,3.6
53000752,8,6.17,3.6
53007067,8.4,6.5,4.2
53003993,6.8,6,5
53009047,7.6,6.25,4.6
53006837,8,5,7
53012789,7.2,5.75,6
53005076,6.6,7.75,2.6
53003048,7.8,7.75,4.8
53008972,9,5.5,6.6
53009463,6.2,7,3.2
53001347,7,8.5,5.8
53004804,8.2,7.25,2.4
53000082,4.8,5.75,4.2
53010801,8,5.75,3.4
53003479,7.2,7.25,3.6
53009243,8.6,6.75,5.6
53001041,6.6,6,2.2
53012871,6,7.5,4.4
53000226,6.4,6.75,3.8
53012399,7.4,7.75,4.2
53006108,7.2,6.75,3.4
53007670,7.6,7.75,7
53004547,8.4,7.5,6.8
53003843,8.4,7.25,5.8
53009200,7.4,6.75,4.8
53000071,7.4,7,5.2
53001675,5.2,8.5,3.4
53008357,7.8,7,4.8
53000786,7.2,6.25,3.4
53004092,6.8,6.75,4.8
53008563,8.2,6.75,5.8
53005828,8.8,6,7.4
53003977,7,7.5,4.6
53011024,9,6.5,4.8
53007166,9,7,7.6
53000194,8.6,7,5.8
53006262,5.4,7.25,3.8
53009360,8,7.5,5
53009522,9.2,7.5,8.2
53001390,5.2,4,2.4
53012642,8.2,7.75,6
53012366,6.6,7.5,6.6
53000244,3.8,6.25,4.2
53002325,5.8,6.25,3.4
53013129,4.8,6.25,3.2
53002004,9,7,4.4
53007234,8.4,7.25,7.8
53006934,8.2,4.25,4
53003142,8.4,9,5.8
53006626,4.2,5.25,2.2
53007352,8.8,7,7
53004741,8.2,7.5,5.8
53005779,8.4,9.25,5.8
53007587,8.6,7.75,7
53012382,8.2,5.75,4.8
53010695,6.4,6.25,4.6
53011899,6.8,8.25,4.2
53003920,8.2,7.25,4.8
53005900,7,7.5,4.8
53009246,7.6,5.75,5
53011743,7,8,5.2
53009198,7.4,6.25,3.6
53004027,7.8,6.5,5.6
53001844,9,9,8.4
53010566,6,6.33,4
53009127,7.6,7,4
53008361,6.4,5.5,2.6
53004704,8.6,8.5,6.6
53004260,5.4,5,2.8
53004783,8.8,8.25,6.2
53010849,6.8,5.5,3.2
53004513,7.4,7.25,4.6
53007611,8.6,6.5,5.8
53003386,8.6,7,7.2
53007257,7.6,8.25,8
53006164,9.2,6.5,3.4
